t, r_OP_x, r_OP_y, r_OP_z, ex_B_x, ex_B_y, ex_B_z, ey_B_x, ey_B_y, ey_B_z, ez_B_x, ez_B_y, ez_B_z, v_P_x, v_P_y, v_P_z, B_Omega_x, B_Omega_y, B_Omega_z
2.000000000000000111e-01, 2.104659999999999864e-02, 4.542702867877916606e-02, -1.897668701214994535e-01, 1.000000000000000000e+00, -2.915011288121516307e-25, -2.193873280239998426e-24, -8.148666808346338347e-25, -9.701452558947472049e-01, -2.425246017725125325e-01, -2.057679559677676254e-24, 2.425246017725125325e-01, -9.701452558947472049e-01, -4.455690016901515967e-22, -1.134102813622409611e+00, -2.733772080605103572e-01, -8.679382730439803240e+00, -1.192395843354670939e-23, -6.253114023416772585e-24
2.099999999999999922e-01, 2.104659999999999864e-02, 3.389460619323662882e-02, -1.921056082811942178e-01, 1.000000000000000000e+00, 1.461549044013610873e-24, 7.045930679663930892e-25, 1.554220312268092365e-24, -9.875394490082194388e-01, -1.573716513624423552e-01, 4.658070635109217903e-25, 1.573716513624423552e-01, -9.875394490082194388e-01, 1.472634733281505723e-22, -1.170845621864341046e+00, -1.939015814777014513e-01, -8.677591779959348273e+00, 3.384405945895814914e-24, 1.121405720440378885e-23
2.200000000000000011e-01, 2.104659999999999864e-02, 2.204247163526674991e-02, -1.936399954046910954e-01, 1.000000000000000000e+00, 6.752510046597997303e-24, 8.575199742756932121e-24, 7.351929652269501390e-24, -9.974088210060574333e-01, -7.194194728603423017e-02, 8.067191143493867925e-24, 7.194194728603423017e-02, -9.974088210060574333e-01, -1.605035151751694690e-22, -1.197855367601174947e+00, -1.128658547122156908e-01, -8.502956073633091805e+00, -7.276163197248655093e-23, -8.058300390765348152e-23
2.300000000000000100e-01, 2.104659999999999864e-02, 9.971800126409101350e-03, -1.943712874985888961e-01, 1.000000000000000000e+00, -5.315165863368555011e-25, 1.349635477406672029e-24, -5.470579959506304164e-25, -9.999333947258222111e-01, 1.154149522778460078e-02, 1.343411088420964103e-24, -1.154149522778460078e-02, -9.999333947258222111e-01, -1.421519969327179204e-21, -1.214613780727045178e+00, -3.411879620529401080e-02, -8.179896858695157036e+00, 2.707235769016142466e-25, -2.158527683757635656e-23
2.399999999999999911e-01, 2.104659999999999864e-02, -2.215523164544267593e-03, -1.943374175705570861e-01, 1.000000000000000000e+00, 2.765985728681346003e-24, 2.247370639914351486e-24, 2.549820723879881849e-24, -9.958443877745095651e-01, 9.107115535674339957e-02, 2.489932955019189402e-24, -9.107115535674339957e-02, -9.958443877745095651e-01, 8.889501071912173732e-22, -1.221129066533034768e+00, 4.007253199776298486e-02, -7.738143874437789727e+00, -7.443058266515454276e-23, -9.799277480196092366e-24
2.500000000000000000e-01, 2.104659999999999864e-02, -1.441805833113998965e-02, -1.935872211275851407e-01, 1.000000000000000000e+00, -3.788711606340719121e-24, 1.740655440233564890e-23, -6.613465423392285232e-24, -9.862476246583788964e-01, 1.652743865688374170e-01, 1.654099594616618073e-23, -1.652743865688374170e-01, -9.862476246583788964e-01, 2.186906819045013136e-21, -1.217774561279065360e+00, 1.089725645972052237e-01, -7.212955345069098634e+00, -1.586173066876893095e-22, -3.349736657529067579e-22
2.600000000000000089e-01, 2.104659999999999864e-02, -2.653925471009718068e-02, -1.921741025903695999e-01, 1.000000000000000000e+00, 1.613791262786421444e-24, -8.421292570964267244e-24, 3.532808241797678126e-24, -9.724387710305943955e-01, 2.331583937938060680e-01, -7.812922419447805685e-24, -2.331583937938060680e-01, -9.724387710305943955e-01, -1.021575157106257338e-21, -1.204944926891799328e+00, 1.728732142097855751e-01, -6.637543238777316112e+00, 6.598498784327502497e-23, 1.639386303535482578e-22
2.700000000000000178e-01, 2.104659999999999864e-02, -3.848600262364967189e-02, -1.901457047299675296e-01, 1.000000000000000000e+00, -5.788259255023001003e-24, 1.052920872775697755e-24, -5.841825509056954605e-24, -9.557281864097311175e-01, 2.942509706049682983e-01, -6.968947477328399544e-25, -2.942509706049682983e-01, -9.557281864097311175e-01, -2.969953291948862783e-22, -1.182848706471888667e+00, 2.324551347800672407e-01, -6.043941588665108888e+00, -9.749319231364098742e-25, 1.265495389267036602e-23
2.800000000000000266e-01, 2.104659999999999864e-02, -5.016577892051485993e-02, -1.875387238332762996e-01, 1.000000000000000000e+00, -1.926767739019361876e-23, 1.139052498064453750e-23, -2.203020550975368905e-23, -9.372344385086284202e-01, 3.486998813785518458e-01, 3.956955464152167570e-24, -3.486998813785518458e-01, -9.372344385086284202e-01, 6.584232873517967177e-22, -1.151540799685117911e+00, 2.882669918929237629e-01, -5.457534082369567940e+00, -2.357486133662519622e-22, -1.670536408585837700e-22
2.899999999999999800e-01, 2.104659999999999864e-02, -6.148669221256468365e-02, -1.843899283224806063e-01, 1.000000000000000000e+00, 6.177533661318099692e-24, -3.104352804846556383e-24, 6.902175969195374551e-24, -9.179258408062054286e-01, 3.967520016083360690e-01, -3.986168134170484865e-25, -3.967520016083360690e-01, -9.179258408062054286e-01, 2.554033690015285182e-22, -1.111110838702520809e+00, 3.406647473101437340e-01, -4.904374963427489575e+00, 5.261653062992478761e-23, 4.600404523444836183e-23
