t,Timoshenko_director_integral,Euler_Bernoulli_director_integral,Inextensible_Euler_Bernoulli_director_integral
0.8282828282828284,12.56565232870573,12.56565232870573,12.56565232870573
0.8383838383838385,12.56565232870642,12.56565232870642,12.56565232870642
0.8484848484848485,12.56565232873019,12.56565232873019,12.56565232873019
0.8585858585858587,12.565652328953977,12.565652328953977,12.565652328953977
0.8686868686868687,12.56565232962827,12.56565232962827,12.56565232962827
0.8787878787878789,12.56565233019574,12.56565233019574,12.56565233019574
0.888888888888889,12.565652329825179,12.565652329825179,12.565652329825179
0.8989898989898991,12.565652329081331,12.565652329081331,12.565652329081331
0.9090909090909092,12.565652328754307,12.565652328754307,12.565652328754307
0.9191919191919192,12.565652328707639,12.565652328707639,12.565652328707639
0.9292929292929294,12.565652328705731,12.565652328705731,12.565652328705731
0.9393939393939394,12.56565232870572,12.56565232870572,12.56565232870572
