frame, lambda, x, y
1.040000000000000000e+02,5.743470305191712005e-02,1.421894254277642489e+00,1.939020491873975516e+00
1.050000000000000000e+02,5.794161242554451974e-02,1.435895723365164800e+00,1.957456267664369420e+00
1.060000000000000000e+02,5.844773120367069419e-02,1.449902847033299969e+00,1.975888286871295918e+00
1.070000000000000000e+02,5.895306129723470318e-02,1.463915608883836317e+00,1.994316555943512981e+00
1.080000000000000000e+02,5.945760461159511207e-02,1.477933992559428811e+00,2.012741081337324545e+00
1.090000000000000000e+02,5.996136304656198013e-02,1.491957981743074368e+00,2.031161869517092100e+00
1.100000000000000000e+02,6.046433849640977382e-02,1.505987560158221772e+00,2.049578926954779945e+00
1.110000000000000000e+02,6.096653284988142601e-02,1.520022711568745244e+00,2.067992260129798865e+00
1.120000000000000000e+02,6.146794799022804734e-02,1.534063419778606496e+00,2.086401875529176664e+00
1.130000000000000000e+02,6.196858579521339477e-02,1.548109668631960423e+00,2.104807779647146049e+00
1.140000000000000000e+02,6.246844813713444550e-02,1.562161442012937940e+00,2.123209978985229895e+00
1.150000000000000000e+02,6.296753688283143746e-02,1.576218723845697944e+00,2.141608480051985453e+00
1.160000000000000000e+02,6.346585389372369490e-02,1.590281498094055612e+00,2.160003289363118029e+00
1.170000000000000000e+02,6.396340102580462539e-02,1.604349748761631611e+00,2.178394413441068878e+00
1.180000000000000000e+02,6.446018012967302813e-02,1.618423459891612737e+00,2.196781858815313626e+00
1.190000000000000000e+02,6.495619305054319004e-02,1.632502615566815418e+00,2.215165632021623310e+00
1.200000000000000000e+02,6.545144162827182255e-02,1.646587199909312238e+00,2.233545739602689650e+00
1.210000000000000000e+02,6.594592769736198901e-02,1.660677197080565604e+00,2.251922188107556622e+00
1.220000000000000000e+02,6.643965308699049943e-02,1.674772591281283862e+00,2.270294984091592028e+00
1.230000000000000000e+02,6.693261962101357265e-02,1.688873366751284522e+00,2.288664134116388027e+00
1.240000000000000000e+02,6.742482911799423106e-02,1.702979507769465162e+00,2.307029644749647446e+00
1.250000000000000000e+02,6.791628339122866842e-02,1.717090998653349132e+00,2.325391522565524838e+00
1.260000000000000000e+02,6.840698424871970162e-02,1.731207823759664866e+00,2.343749774143518039e+00
1.270000000000000000e+02,6.889693349325227978e-02,1.745329967483660871e+00,2.362104406069377660e+00
1.280000000000000000e+02,6.938613292237195973e-02,1.759457414259170571e+00,2.380455424934481812e+00
1.290000000000000000e+02,6.987458432841003875e-02,1.773590148558569668e+00,2.398802837335949789e+00
1.300000000000000000e+02,7.036228949849659964e-02,1.787728154892784360e+00,2.417146649876187325e+00
1.310000000000000000e+02,7.084925021458701733e-02,1.801871417810929188e+00,2.435486869163270285e+00
1.320000000000000000e+02,7.133546825347836240e-02,1.816019921900410283e+00,2.453823501810489915e+00
1.330000000000000000e+02,7.182094538681108031e-02,1.830173651786659139e+00,2.472156554436580223e+00
1.340000000000000000e+02,7.230568338109863435e-02,1.844332592133248072e+00,2.490486033665249010e+00
1.350000000000000000e+02,7.278968399773713682e-02,1.858496727641627100e+00,2.508811946125248937e+00
1.360000000000000000e+02,7.327294899303188336e-02,1.872666043051141704e+00,2.527134298450292249e+00
1.370000000000000000e+02,7.375548011819911542e-02,1.886840523138701098e+00,2.545453097279150256e+00
1.380000000000000000e+02,7.423727911938898805e-02,1.901020152719051781e+00,2.563768349255070689e+00
1.390000000000000000e+02,7.471834773770510973e-02,1.915204916644392297e+00,2.582080061026118756e+00
1.400000000000000000e+02,7.519868770922043255e-02,1.929394799804310168e+00,2.600388239244992405e+00
1.410000000000000000e+02,7.567830076498073544e-02,1.943589787125800106e+00,2.618692890568723897e+00
1.420000000000000000e+02,7.615718863104051217e-02,1.957789863573142108e+00,2.636994021658793486e+00
1.430000000000000000e+02,7.663535302846477548e-02,1.971995014147519987e+00,2.655291639181257324e+00
1.440000000000000000e+02,7.711279567334657081e-02,1.986205223887531179e+00,2.673585749805866385e+00
1.450000000000000000e+02,7.758951827682497582e-02,2.000420477868444902e+00,2.691876360206933327e+00
1.460000000000000000e+02,7.806552254510040756e-02,2.014640761202587615e+00,2.710163477062451420e+00
1.470000000000000000e+02,7.854081017945849230e-02,2.028866059038847869e+00,2.728447107054677190e+00
1.480000000000000000e+02,7.901538287627050960e-02,2.043096356562921656e+00,2.746727256869490930e+00
1.490000000000000000e+02,7.948924232701634618e-02,2.057331638997031309e+00,2.765003933196638286e+00
1.500000000000000000e+02,7.996239021830832405e-02,2.071571891599778503e+00,2.783277142729616571e+00
1.510000000000000000e+02,8.043482823188785602e-02,2.085817099666364527e+00,2.801546892165220015e+00
1.520000000000000000e+02,8.090655804466180545e-02,2.100067248528006303e+00,2.819813188204136623e+00
1.530000000000000000e+02,8.137758132869558902e-02,2.114322323552352501e+00,2.838076037550081310e+00
1.540000000000000000e+02,8.184789975125836281e-02,2.128582310142899559e+00,2.856335446910449605e+00
1.550000000000000000e+02,8.231751497481293312e-02,2.142847193739291445e+00,2.874591422995663947e+00
1.560000000000000000e+02,8.278642865703246534e-02,2.157116959817044322e+00,2.892843972519372642e+00
1.570000000000000000e+02,8.325464245083036285e-02,2.171391593887465277e+00,2.911093102198307747e+00
1.580000000000000000e+02,8.372215800436920430e-02,2.185671081497476465e+00,2.929338818752299289e+00
1.590000000000000000e+02,8.418897696106812656e-02,2.199955408229785636e+00,2.947581128903891567e+00
1.600000000000000000e+02,8.465510095963224568e-02,2.214244559702465143e+00,2.965820039378641582e+00
1.610000000000000000e+02,8.512053163404632861e-02,2.228538521569190411e+00,2.984055556904621653e+00
1.620000000000000000e+02,8.558527061361995147e-02,2.242837279518722138e+00,3.002287688212888384e+00
1.630000000000000000e+02,8.604931952297344144e-02,2.257140819275276655e+00,3.020516440036857375e+00
1.640000000000000000e+02,8.651267998207605447e-02,2.271449126597979706e+00,3.038741819112658504e+00
1.650000000000000000e+02,8.697535360623448453e-02,2.285762187281320301e+00,3.056963832178510643e+00
1.660000000000000000e+02,8.743734200613662022e-02,2.300079987154439287e+00,3.075182485975389568e+00
1.670000000000000000e+02,8.789864678785590246e-02,2.314402512081389585e+00,3.093397787246473740e+00
1.680000000000000000e+02,8.835926955284391371e-02,2.328729747961268082e+00,3.111609742736646922e+00
1.690000000000000000e+02,8.881921189798523686e-02,2.343061680727409168e+00,3.129818359193762944e+00
1.700000000000000000e+02,8.927847541558167621e-02,2.357398296348072630e+00,3.148023643366983038e+00
1.710000000000000000e+02,8.973706169337723748e-02,2.371739580825854787e+00,3.166225602007784801e+00
1.720000000000000000e+02,9.019497231457286601e-02,2.386085520197720466e+00,3.184424241869564298e+00
1.730000000000000000e+02,9.065220885783553673e-02,2.400436100535134010e+00,3.202619569707238156e+00
1.740000000000000000e+02,9.110877289732756401e-02,2.414791307943381593e+00,3.220811592278039370e+00
1.750000000000000000e+02,9.156466600270311840e-02,2.429151128562318185e+00,3.239000316340224117e+00
1.760000000000000000e+02,9.201988973912958447e-02,2.443515548565505124e+00,3.257185748654109148e+00
1.770000000000000000e+02,9.247444566730753102e-02,2.457884554160519652e+00,3.275367895981361244e+00
1.780000000000000000e+02,9.292833534347738622e-02,2.472258131588871422e+00,3.293546765085082484e+00
1.790000000000000000e+02,9.338156031943500857e-02,2.486636267125701849e+00,3.311722362729881297e+00
1.800000000000000000e+02,9.383412214255355821e-02,2.501018947079875598e+00,3.329894695681488770e+00
1.810000000000000000e+02,9.428602235578183166e-02,2.515406157793753650e+00,3.348063770707156550e+00
1.820000000000000000e+02,9.473726249767504271e-02,2.529797885643345179e+00,3.366229594574917883e+00
1.830000000000000000e+02,9.518784410240235805e-02,2.544194117037741343e+00,3.384392174054426050e+00
1.840000000000000000e+02,9.563776869975854078e-02,2.558594838419654849e+00,3.402551515915902769e+00
1.850000000000000000e+02,9.608703781517663467e-02,2.573000036264792012e+00,3.420707626930720835e+00
1.860000000000000000e+02,9.653565296975634424e-02,2.587409697081997972e+00,3.438860513871333069e+00
1.870000000000000000e+02,9.698361568024879698e-02,2.601823807413299772e+00,3.457010183510590196e+00
1.880000000000000000e+02,9.743092745910221508e-02,2.616242353833463152e+00,3.475156642622451386e+00
1.890000000000000000e+02,9.787758981446363638e-02,2.630665322950103135e+00,3.493299897981614777e+00
1.900000000000000000e+02,9.832360425017611094e-02,2.645092701403771507e+00,3.511439956363119563e+00
1.910000000000000000e+02,9.876897226582462275e-02,2.659524475867574900e+00,3.529576824542715485e+00
1.920000000000000000e+02,9.921369535672266982e-02,2.673960633047088642e+00,3.547710509296763348e+00
1.930000000000000000e+02,9.965777501393736915e-02,2.688401159680595676e+00,3.565841017401851332e+00
1.940000000000000000e+02,1.001012127243080946e-01,2.702846042538512350e+00,3.583968355635221315e+00
1.950000000000000000e+02,1.005440099704373730e-01,2.717295268423832955e+00,3.602092530774129386e+00
1.960000000000000000e+02,1.009861682307368475e-01,2.731748824171611467e+00,3.620213549596186908e+00
1.970000000000000000e+02,1.014276889794166470e-01,2.746206696649092560e+00,3.638331418879204193e+00
1.980000000000000000e+02,1.018685736865113239e-01,2.760668872755451364e+00,3.656446145401247350e+00
1.990000000000000000e+02,1.023088238178822967e-01,2.775135339421987535e+00,3.674557735940155112e+00
2.000000000000000000e+02,1.027484408352372508e-01,2.789606083611842369e+00,3.692666197273894113e+00
2.010000000000000000e+02,1.031874261961558126e-01,2.804081092319687052e+00,3.710771536180573094e+00
2.020000000000000000e+02,1.036257813540680944e-01,2.818560352572400785e+00,3.728873759437618673e+00
2.030000000000000000e+02,1.040635077583129536e-01,2.833043851427950344e+00,3.746972873822926431e+00
2.040000000000000000e+02,1.045006068541188687e-01,2.847531575975950524e+00,3.765068886113894564e+00
2.050000000000000000e+02,1.049370800826253808e-01,2.862023513337690783e+00,3.783161803087409680e+00
2.060000000000000000e+02,1.053729288809021614e-01,2.876519650665577466e+00,3.801251631520173646e+00
2.070000000000000000e+02,1.058081546819504004e-01,2.891019975143329201e+00,3.819338378188533056e+00
2.080000000000000000e+02,1.062427589147337675e-01,2.905524473985834799e+00,3.837422049868280283e+00
2.090000000000000000e+02,1.066767430041665327e-01,2.920033134439148803e+00,3.855502653334596630e+00
2.100000000000000000e+02,1.071101083711525348e-01,2.934545943780150434e+00,3.873580195362265499e+00
2.110000000000000000e+02,1.075428564325812547e-01,2.949062889316890423e+00,3.891654682725047110e+00
