frame, lambda, x, y
2.120000000000000000e+02,1.073218515355297553e-01,2.903198210387772704e+00,4.046909352205048549e+00
2.130000000000000000e+02,1.077532564206853255e-01,2.917466226459591638e+00,4.065525862872462426e+00
2.140000000000000000e+02,1.081840655729807005e-01,2.931738613985469311e+00,4.084138518498505732e+00
2.150000000000000000e+02,1.086142802865080609e-01,2.946015360394953042e+00,4.102747327188950521e+00
2.160000000000000000e+02,1.090439018520114878e-01,2.960296453145404794e+00,4.121352297045945079e+00
2.170000000000000000e+02,1.094729315568712252e-01,2.974581879722289379e+00,4.139953436167701284e+00
2.180000000000000000e+02,1.099013706851271199e-01,2.988871627639263284e+00,4.158550752648125126e+00
2.190000000000000000e+02,1.103292205174939700e-01,3.003165684437380634e+00,4.177144254577925153e+00
2.200000000000000000e+02,1.107564823313518798e-01,3.017464037685981371e+00,4.195733950042978222e+00
2.210000000000000000e+02,1.111831574007820789e-01,3.031766674981748899e+00,4.214319847125779006e+00
2.220000000000000000e+02,1.116092469965510176e-01,3.046073583949294061e+00,4.232901953904416814e+00
2.230000000000000000e+02,1.120347523861298933e-01,3.060384752240826511e+00,4.251480278452802963e+00
2.240000000000000000e+02,1.124596748337126778e-01,3.074700167535885154e+00,4.270054828841054473e+00
2.250000000000000000e+02,1.128840156002021006e-01,3.089019817541875490e+00,4.288625613134485093e+00
2.260000000000000000e+02,1.133077759432505466e-01,3.103343689993220966e+00,4.307192639394727962e+00
2.270000000000000000e+02,1.137309571172371858e-01,3.117671772652013118e+00,4.325755915678740848e+00
2.280000000000000000e+02,1.141535603733040555e-01,3.132004053307419600e+00,4.344315450039431425e+00
2.290000000000000000e+02,1.145755869593440002e-01,3.146340519775978173e+00,4.362871250525074629e+00
2.300000000000000000e+02,1.149970381200230707e-01,3.160681159901348902e+00,4.381423325179724770e+00
2.310000000000000000e+02,1.154179150967873380e-01,3.175025961554232001e+00,4.399971682042917109e+00
2.320000000000000000e+02,1.158382191278694573e-01,3.189374912632429560e+00,4.418516329149781541e+00
2.330000000000000000e+02,1.162579514482939697e-01,3.203728001060749619e+00,4.437057274530673112e+00
2.340000000000000000e+02,1.166771132898989094e-01,3.218085214790766813e+00,4.455594526211768880e+00
2.350000000000000000e+02,1.170957058813295315e-01,3.232446541801014650e+00,4.474128092214328944e+00
2.360000000000000000e+02,1.175137304480585315e-01,3.246811970096800337e+00,4.492657980555122776e+00
2.370000000000000000e+02,1.179311882123950939e-01,3.261181487710075544e+00,4.511184199246230264e+00
2.380000000000000000e+02,1.183480803934776754e-01,3.275555082699541209e+00,4.529706756294956449e+00
2.390000000000000000e+02,1.187644082073062990e-01,3.289932743150443262e+00,4.548225659703888368e+00
2.400000000000000000e+02,1.191801728667346710e-01,3.304314457174530428e+00,4.566740917470838212e+00
2.410000000000000000e+02,1.195953755814831987e-01,3.318700212910107528e+00,4.585252537588743849e+00
2.420000000000000000e+02,1.200100175581603340e-01,3.333089998521760577e+00,4.603760528045739875e+00
2.430000000000000000e+02,1.204241000002502643e-01,3.347483802200324376e+00,4.622264896825299729e+00
2.440000000000000000e+02,1.208376241081275393e-01,3.361881612163261757e+00,4.640765651905411460e+00
2.450000000000000000e+02,1.212505910790792341e-01,3.376283416653978353e+00,4.659262801259458797e+00
2.460000000000000000e+02,1.216630021073056706e-01,3.390689203941929186e+00,4.677756352856050626e+00
2.470000000000000000e+02,1.220748583839200291e-01,3.405098962322979705e+00,4.696246314658182541e+00
2.480000000000000000e+02,1.224861610969695536e-01,3.419512680118724557e+00,4.714732694624331089e+00
2.490000000000000000e+02,1.228969114314430039e-01,3.433930345676869500e+00,4.733215500707586898e+00
2.500000000000000000e+02,1.233071105692696984e-01,3.448351947370948078e+00,4.751694740855953114e+00
2.510000000000000000e+02,1.237167596893305327e-01,3.462777473600493483e+00,4.770170423012132233e+00
2.520000000000000000e+02,1.241258599674910368e-01,3.477206912790522964e+00,4.788642555114009269e+00
2.530000000000000000e+02,1.245344125765631277e-01,3.491640253392052529e+00,4.807111145093799109e+00
2.540000000000000000e+02,1.249424186863648950e-01,3.506077483881396617e+00,4.825576200878984423e+00
2.550000000000000000e+02,1.253498794636811742e-01,3.520518592760965237e+00,4.844037730390979846e+00
2.560000000000000000e+02,1.257567960723128542e-01,3.534963568558150637e+00,4.862495741546695172e+00
2.570000000000000000e+02,1.261631696730597385e-01,3.549412399826213704e+00,4.880950242257100058e+00
2.580000000000000000e+02,1.265690014237338956e-01,3.563865075143634709e+00,4.899401240427977200e+00
2.590000000000000000e+02,1.269742924791853744e-01,3.578321583114232318e+00,4.917848743959723379e+00
2.600000000000000000e+02,1.273790439912817485e-01,3.592781912367136510e+00,4.936292760747249986e+00
2.610000000000000000e+02,1.277832571089361213e-01,3.607246051556676658e+00,4.954733298679968811e+00
2.620000000000000000e+02,1.281869329781140376e-01,3.621713989362403296e+00,4.973170365641763624e+00
2.630000000000000000e+02,1.285900727418364253e-01,3.636185714488783027e+00,4.991603969511103855e+00
2.640000000000000000e+02,1.289926775401886716e-01,3.650661215665542247e+00,5.010034118160689331e+00
2.650000000000000000e+02,1.293947485103295325e-01,3.665140481647259474e+00,5.028460819457691855e+00
2.660000000000000000e+02,1.297962867865060099e-01,3.679623501213361791e+00,5.046884081263783628e+00
2.670000000000000000e+02,1.301972935000484943e-01,3.694110263168296715e+00,5.065303911434725137e+00
2.680000000000000000e+02,1.305977697793972436e-01,3.708600756341125404e+00,5.083720317820819901e+00
2.690000000000000000e+02,1.309977167500837869e-01,3.723094969585811320e+00,5.102133308266473932e+00
2.700000000000000000e+02,1.313971355347710590e-01,3.737592891780759263e+00,5.120542890610565223e+00
2.710000000000000000e+02,1.317960272532350818e-01,3.752094511829175971e+00,5.138949072685988995e+00
2.720000000000000000e+02,1.321943930223891950e-01,3.766599818658774357e+00,5.157351862319856650e+00
2.730000000000000000e+02,1.325922339562870256e-01,3.781108801221678029e+00,5.175751267333637884e+00
2.740000000000000000e+02,1.329895511661228491e-01,3.795621448494465255e+00,5.194147295542805409e+00
2.750000000000000000e+02,1.333863457602568470e-01,3.810137749478218261e+00,5.212539954756763905e+00
