frame, lambda, x, y
1.776000000000000000e+03,4.832852385107334059e-01,8.045173543056218080e+01,7.453835520316542329e+01
1.785000000000000000e+03,4.750877079841201445e-01,8.075988878796523807e+01,7.432380462090503670e+01
1.794000000000000000e+03,4.670800408068447318e-01,8.105120814954162256e+01,7.410621614581827998e+01
1.803000000000000000e+03,4.592519398387381324e-01,8.132659840364438253e+01,7.388580065956588783e+01
1.811000000000000000e+03,4.524367416290339117e-01,8.155868029124791008e+01,7.368765777511478632e+01
1.820000000000000000e+03,4.449227363216805009e-01,8.180615352780714034e+01,7.346241164864699158e+01
1.829000000000000000e+03,4.375630812140726134e-01,8.203986423598040290e+01,7.323484836210556637e+01
1.838000000000000000e+03,4.303503041007510910e-01,8.226043891644134476e+01,7.300511703199680369e+01
1.846000000000000000e+03,4.240566222808331287e-01,8.244594378162184967e+01,7.279920295852248557e+01
1.855000000000000000e+03,4.171026931149121597e-01,8.264323952920199190e+01,7.256574434031293208e+01
1.864000000000000000e+03,4.102767831825039346e-01,8.282894288701007213e+01,7.233048946101489207e+01
1.873000000000000000e+03,4.035731441651440043e-01,8.300351242551641917e+01,7.209355020428185412e+01
1.882000000000000000e+03,3.969863609085497735e-01,8.316737448495427998e+01,7.185503128277844098e+01
1.890000000000000000e+03,3.912254018458089511e-01,8.330436254282521702e+01,7.164176789710160165e+01
1.899000000000000000e+03,3.848456076443953489e-01,8.344906263688704939e+01,7.140052854887201761e+01
1.908000000000000000e+03,3.785686067953652478e-01,8.358413448392786904e+01,7.115797796730977609e+01
1.917000000000000000e+03,3.723899961105676115e-01,8.370990703591942861e+01,7.091419902731942670e+01
1.925000000000000000e+03,3.669770975868515417e-01,8.381414861551601803e+01,7.069653893155978608e+01
1.934000000000000000e+03,3.609730269985124140e-01,8.392318575825791527e+01,7.045065050412220842e+01
1.943000000000000000e+03,3.550557070804382653e-01,8.402377043018388747e+01,7.020374953743710478e+01
1.952000000000000000e+03,3.492214310891569862e-01,8.411616493897281543e+01,6.995590362055831690e+01
1.960000000000000000e+03,3.441022399865979464e-01,8.419161897339738232e+01,6.973485496019526408e+01
1.969000000000000000e+03,3.384152080913220839e-01,8.426921132536597270e+01,6.948539737601288380e+01
1.978000000000000000e+03,3.328012745228223768e-01,8.433929828379839932e+01,6.923517286536606719e+01
1.987000000000000000e+03,3.272572262105655216e-01,8.440209483954964753e+01,6.898423774636225403e+01
1.995000000000000000e+03,3.223853357748931447e-01,8.445195965678884420e+01,6.876063135406988636e+01
2.004000000000000000e+03,3.169648832985280662e-01,8.450153755164164693e+01,6.850849911655609503e+01
2.013000000000000000e+03,3.116055823785154888e-01,8.454439302479715934e+01,6.825580577176404518e+01
2.022000000000000000e+03,3.063045755258230196e-01,8.458070647664082742e+01,6.800259893296725977e+01
